steps(432000) timeStep(60.0) stepsPerFrame(1440) scale(4.0E9) metadata(null)
name(Sun) position(-3.2699619936543506E8, 1.139431569591444E9, -3047041.6160189756) velocity(-14.559954528283866, 0.1953539677258837, 0.3782999423985363) mass(1.988435E30) radius(6.957E8)
name(Earth) position(4.880199146955403E9, -1.508307374812128E11, 4281772.3824550845) velocity(29263.712352744522, 897.3475692945583, 1.136661106687686) mass(5.9721986E24) radius(6371008.0)
name(Mars) position(-1.5343480538676382E11, 1.9394971574735434E11, 7.793736807034633E9) velocity(-18076.93378010044, -13001.694903273063, 171.1234896711884) mass(6.41693E23) radius(3389500.0)
name(Saturn) position(4.2597657136495703E11, -1.4407050886515571E12, 8.093505759953482E9) velocity(8729.835613336703, 2710.297689510843, -395.2127952427565) mass(5.68319E26) radius(5.8232E7)
name(Jupiter) position(-1.3406089007827905E11, -7.795836469920034E11, 6.232221825483357E9) velocity(12718.621673187552, -1590.3578117104469, -277.88958572771065) mass(1.89813E27) radius(6.9911E7)
name(Titan) position(4.2472625680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(8684.010739656325, -2104.1797822349804, 2091.305305126359) mass(1.3452E23) radius(2575000.0)
name(Moon (Earth)) position(5.230006597120154E9, -1.5104691932724835E11, -2.051672650220958E7) velocity(29772.362344922967, 1708.3420413390572, -65.86935686235651) mass(7.3459E22) radius(1737400.0)
name(Venus) position(5.688230776522474E10, 9.273296294741196E10, -2.0476765775780225E9) velocity(-29824.29066719782, 18398.297483158276, 1973.0675244869037) mass(4.86732E24) radius(6051900.0)
name(Mercury) position(-5.1341580763238464E10, -4.1015081855471954E10, 1.2322525877174017E9) velocity(21060.563497321098, -35370.11465477301, -4823.229522491436) mass(3.33E23) radius(2432000.0)
name(Probe (-2 -2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-28675.68722787116, 35567.044013958075, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-2 -1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-28675.68722787116, 36313.534454617686, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-2 0)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-28675.68722787116, 37060.02489527729, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-2 1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-28675.68722787116, 37806.51533593689, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-2 2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-28675.68722787116, 38553.0057765965, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-1 -2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27929.196787211553, 35567.044013958075, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-1 -1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27929.196787211553, 36313.534454617686, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-1 0)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27929.196787211553, 37060.02489527729, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-1 1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27929.196787211553, 37806.51533593689, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (-1 2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27929.196787211553, 38553.0057765965, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (0 -2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27182.706346551946, 35567.044013958075, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (0 -1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27182.706346551946, 36313.534454617686, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (0 0)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27182.706346551946, 37060.02489527729, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (0 1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27182.706346551946, 37806.51533593689, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (0 2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-27182.706346551946, 38553.0057765965, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (1 -2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-26436.21590589234, 35567.044013958075, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (1 -1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-26436.21590589234, 36313.534454617686, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (1 0)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-26436.21590589234, 37060.02489527729, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (1 1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-26436.21590589234, 37806.51533593689, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (1 2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-26436.21590589234, 38553.0057765965, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (2 -2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-25689.725465232732, 35567.044013958075, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (2 -1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-25689.725465232732, 36313.534454617686, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (2 0)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-25689.725465232732, 37060.02489527729, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (2 1)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-25689.725465232732, 37806.51533593689, 2091.305305126359) mass(1.0) radius(1.0)
name(Probe (2 2)) position(4.2472885680356165E11, -1.440636608364697E12, 8.18273010396434E9) velocity(-25689.725465232732, 38553.0057765965, 2091.305305126359) mass(1.0) radius(1.0)
